"Group","Device","Serial Number","IP Address","Asset Number","Location","Misc Supply Label","Level"
"Direct Sales > Pilkington Polska","HP Color LaserJet M452dn","VNC3B06865","10.16.33.98","","HP Color LaserJet CM2320fxi MFP","Black Cartridge HP CF410A",""
"Direct Sales > Pilkington Polska","HP Color LaserJet M452dn","VNC3B06865","10.16.33.98","","HP Color LaserJet CM2320fxi MFP","Cyan Cartridge HP CF411A","100%"
"Direct Sales > Pilkington Polska","HP Color LaserJet M452dn","VNC3B06865","10.16.33.98","","HP Color LaserJet CM2320fxi MFP","Magenta Cartridge HP CF413A",""
"Direct Sales > Pilkington Polska","HP Color LaserJet M452dn","VNC3B06865","10.16.33.98","","HP Color LaserJet CM2320fxi MFP","SMart Kit Drum Cartridge, Replace with P/N 113R00762 SN 13100642843","100%"
"Direct Sales > Pilkington Polska","HP Color LaserJet M452dn","CNCT89KGRD","10.16.33.255","","HP Color LaserJet CM2320fxi MFP","SMart Kit Drum Cartridge, Replace with P/N 113R00762 SN 13100642843",""
"Direct Sales > Pilkington Polska","HP Color LaserJet M452dn","VNC3B06865","10.16.33.98","","HP Color LaserJet CM2320fxi MFP","Xerox Black Toner Cartridge, Replace with P/N 106R01536 SN 16020509518",""
"Direct Sales > Pilkington Polska","HP Color LaserJet M452dn","VNC3B06865","10.16.33.98","","HP Color LaserJet CM2320fxi MFP","Yellow Cartridge HP CF412A","29%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH42T6R-100-28","10.16.162.99","","","Imaging Unit","80%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TKZ-100-28","10.16.41.14","","","Imaging Unit","89%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPC-100-28","10.16.161.162","","","Imaging Unit","92%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4DH3F-100-28","10.16.38.7","","","Imaging Unit","76%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH44VRC-100-28","10.16.100.160","","","Imaging Unit","92%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WM2-100-28","10.16.41.71","","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPW-100-28","10.16.162.203","","","Imaging Unit","43%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4C3V4-100-28","10.16.33.78","","","Imaging Unit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TGZ-100-28","10.16.37.245","","","Imaging Unit","89%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43THP-100-28","10.16.38.16","","","Imaging Unit","77%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WLN-100-28","10.16.45.35","","","Imaging Unit","79%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WLN-100-28","10.16.45.35","","","Maintenance Kit","72%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43THP-100-28","10.16.38.16","","","Maintenance Kit","94%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH43TGZ-100-28","10.16.37.245","","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4C3V4-100-28","10.16.33.78","","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH4GFPW-100-28","10.16.162.203","","","Maintenance Kit","88%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH48WM2-100-28","10.16.41.71","","","Maintenance Kit","100%"
"Direct Sales > Pilkington Polska","KONICA MINOLTA bizhub 4700P","45147PHH44VRC-100-28","10.16.100.160","","","Maintenance Kit","100%"
